Domain,Rank
yahoo.com,6.79
biztoc.com,4.03
indiatimes.com,5.04
scmp.com,5.84
marketscreener.com,4.84
theglobeandmail.com,6.05
cbc.ca,6.42
globalnews.ca,6.11
dailymail.co.uk,6.45
independent.co.uk,6.4
moneycontrol.com,5.69
thestar.com.my,5.64
express.co.uk,5.64
winnipegfreepress.com,5.07
politico.eu,5.56
cnn.com,6.39
businesstimes.com.sg,5.1
afr.com,5.53
cnbc.com,6.7
straitstimes.com,5.46
hellenicshippingnews.com,4.8
castanetkamloops.net,4.28
firstpost.com,5.27
econotimes.com,4.62
independent.ie,5.16
businessinsider.com,7.07
bignewsnetwork.com,4.8
theguardian.com,7.48
news.az,4.58
ndtv.com,5.25
ibtimes.com,5.85
aol.com,5.83
thedailystar.net,5.19
newsweek.com,6.27
hindustantimes.com,5.75
euronews.com,5.72
windsorstar.com,4.74
digitaljournal.com,5.35
channelnewsasia.com,5.22
bangkokpost.com,5.34
thehindu.com,5.71
miragenews.com,4.78
rte.ie,5.75
livemint.com,5.68
irishtimes.com,6.12
financialexpress.com,5.27
abc.net.au,6.47
menafn.com,4.89
calgarysun.com,4.64
wn.com,4.75
tribune.com.pk,5.16
thetimes.com,5.46
rnz.co.nz,5.18
nypost.com,6.37
globalsecurity.org,4.86
thestandard.com.hk,5.03
theconversation.com,6.37
slguardian.org,4.23
netscape.com,4.64
mediaite.com,5.01
breitbart.com,5.25
thehindubusinessline.com,5.27
sky.com,5.31
mirror.co.uk,6.04
infotel.ca,4.63
forbes.com,7.34
whec.com,4.59
lethbridgeherald.com,4.54
bssnews.net,4.31
athens-times.com,4.13
presstv.ir,4.93
panow.com,4.55
oilprice.com,4.98
foreignpolicy.com,5.77
english.news.cn,4.73
en.tempo.co,4.77
calgaryherald.com,5.05
benzinga.com,5.48
aljazeera.com,6.14
aawsat.com,4.74
aa.com.tr,5.42
zerohedge.com,5.41
newkerala.com,4.58
newcastleherald.com.au,4.38
nbcnews.com,6.46
japantimes.co.jp,5.86
columbian.com,5.06
brecorder.com,4.87
bbc.co.uk,7.04
aol.co.uk,4.58
wsws.org,5.07
tribuneindia.com,5.07
shanghaisun.com,2.66
naturalnews.com,4.74
nationalpost.com,5.27
dawn.com,5.34
businessmirror.com.ph,4.67
bnnbloomberg.ca,5.19
bbc.com,7.15
toronto.citynews.ca,4.84
stalbertgazette.com,4.43
smh.com.au,6.29
qz.com,6.5
nytimes.com,8.09
ktvz.com,4.7
chinadaily.com.cn,5.29
bworldonline.com,4.75
businesspost.ie,4.93
brandonsun.com,4.61
aninews.in,5.31
wyomingnewsnow.tv,4.42
winnipegsun.com,4.57
timminstimes.com,4.13
startribune.com,5.33
nugget.ca,4.33
nikkei.com,5.62
macaudailytimes.com.mo,4.52
lbc.co.uk,5.2
kvia.com,4.48
khaleejtimes.com,5.02
gcaptain.com,4.59
dailypost.ng,4.68
cochranetimespost.ca,3.27
bdnews24.com,4.77
webindia123.com,4.6
torontosun.com,5.15
time.com,6.81
theweek.in,5.03
thenews.com.pk,5.11
saultstar.com,4.45
saharareporters.com,4.81
nzcity.co.nz,2.46
nowtoronto.com,4.76
nationalobserver.com,4.67
mynorthwest.com,5.25
marketplace.org,5.42
manilatimes.net,4.78
latimes.com,6.48
itv.com,5.64
invezz.com,4.29
india.com,4.87
gdnonline.com,4.45
fxstreet.com,5.32
financialpost.com,5.12
en.apa.az,4.59
dailysabah.com,5.08
dailyexcelsior.com,4.38
cbsnews.com,6.53
bostonglobe.com,5.59
